Iteration;Suspected;Infected;Recovered
483;789;0;4453
484;789;0;4453
485;789;0;4453
486;789;0;4453
487;789;0;4453
488;789;0;4453
489;789;0;4453
490;789;0;4453
491;789;0;4453
492;789;0;4453
493;789;0;4453
494;789;0;4453
495;789;0;4453
496;789;0;4453
497;789;0;4453
498;789;0;4453
499;789;0;4453
500;789;0;4453
